t,Rtrue,inc
0,1.5,0
1,1.5,0
2,1.5,2
3,1.5,0
4,1.5,0
5,1.5,4
6,1.5,2
7,1.5,2
8,1.5,1
9,1.5,3
10,1.5,0
11,1.5,1
12,1.5,1
13,1.5,4
14,1.5,4
15,1.5,8
16,1.5,2
17,1.5,4
18,1.5,8
19,1.5,8
20,1.5,14
21,1.5,5
22,1.5,8
23,1.5,13
24,1.5,13
25,1.5,8
26,1.5,18
27,1.5,12
28,1.5,10
29,1.5,29
30,1.5,17
31,1.45789473684211,16
32,1.41578947368421,24
33,1.37368421052632,24
34,1.33157894736842,26
35,1.28947368421053,37
36,1.24736842105263,16
37,1.20526315789474,35
38,1.16315789473684,22
39,1.12105263157895,28
40,1.07894736842105,35
41,1.03684210526316,30
42,0.994736842105263,29
43,0.952631578947368,29
44,0.910526315789474,24
45,0.868421052631579,37
46,0.826315789473684,16
47,0.784210526315789,14
48,0.742105263157895,16
49,0.7,17
50,0.7,14
51,0.7,15
52,0.7,16
53,0.7,14
54,0.7,9
55,0.7,4
56,0.7,9
57,0.7,9
58,0.7,9
59,0.7,5
60,0.7,9
61,0.7,4
62,0.7,7
63,0.7,5
64,0.7,4
65,0.7,3
66,0.7,7
67,0.7,4
68,0.7,5
69,0.7,2
70,0.7,2
71,0.7,4
72,0.7,2
73,0.7,0
74,0.7,3
75,0.7,1
76,0.7,2
77,0.7,3
78,0.7,0
79,0.7,3
80,0.7,1
