"","time","incidence","cases","hospitalisations","deaths","date"
"1",31,27,3,0,0,2025-01-02
"2",32,30,4,0,0,2025-01-03
"3",33,49,6,0,0,2025-01-04
"4",34,47,7,0,0,2025-01-05
"5",35,41,12,0,0,2025-01-06
"6",36,57,9,0,0,2025-01-07
"7",37,71,19,1,0,2025-01-08
"8",38,72,17,0,1,2025-01-09
"9",39,92,14,1,0,2025-01-10
"10",40,93,15,1,0,2025-01-11
"11",41,109,15,2,0,2025-01-12
"12",42,140,16,2,0,2025-01-13
"13",43,142,24,2,0,2025-01-14
"14",44,199,30,2,1,2025-01-15
"15",45,195,38,3,0,2025-01-16
"16",46,214,51,1,0,2025-01-17
"17",47,271,58,2,2,2025-01-18
"18",48,288,57,3,0,2025-01-19
"19",49,332,67,4,1,2025-01-20
"20",50,364,68,0,0,2025-01-21
"21",51,404,73,1,0,2025-01-22
"22",52,457,92,5,0,2025-01-23
"23",53,537,89,4,1,2025-01-24
"24",54,646,135,5,0,2025-01-25
"25",55,730,122,11,0,2025-01-26
"26",56,723,163,4,0,2025-01-27
"27",57,873,159,13,3,2025-01-28
"28",58,928,193,8,0,2025-01-29
"29",59,1071,201,12,1,2025-01-30
"30",60,1164,244,9,1,2025-01-31
"31",61,1322,276,16,1,2025-02-01
"32",62,1390,290,15,2,2025-02-02
"33",63,1617,326,13,5,2025-02-03
"34",64,1705,398,24,4,2025-02-04
"35",65,1918,396,16,2,2025-02-05
"36",66,2080,450,18,7,2025-02-06
"37",67,2304,497,26,7,2025-02-07
"38",68,2437,531,38,10,2025-02-08
"39",69,2544,572,32,8,2025-02-09
"40",70,2831,633,37,9,2025-02-10
"41",71,3250,665,44,7,2025-02-11
"42",72,3325,734,45,16,2025-02-12
"43",73,3172,837,56,15,2025-02-13
"44",74,3651,867,49,20,2025-02-14
"45",75,3763,922,83,16,2025-02-15
"46",76,4299,1059,78,19,2025-02-16
"47",77,4124,1031,78,22,2025-02-17
"48",78,4449,1165,93,27,2025-02-18
"49",79,4261,1190,93,29,2025-02-19
"50",80,4265,1161,113,22,2025-02-20
"51",81,5107,1263,132,23,2025-02-21
"52",82,4679,1269,135,31,2025-02-22
"53",83,4551,1388,139,32,2025-02-23
"54",84,4798,1350,153,34,2025-02-24
"55",85,4513,1386,150,53,2025-02-25
"56",86,4659,1381,170,54,2025-02-26
"57",87,4732,1387,180,63,2025-02-27
"58",88,4482,1378,188,52,2025-02-28
"59",89,4225,1346,186,69,2025-03-01
"60",90,4002,1371,197,50,2025-03-02
"61",91,3704,1333,210,54,2025-03-03
"62",92,3767,1327,205,75,2025-03-04
"63",93,3315,1240,198,71,2025-03-05
"64",94,2858,1174,242,84,2025-03-06
"65",95,2739,1076,250,68,2025-03-07
"66",96,2370,978,221,85,2025-03-08
"67",97,2211,915,229,78,2025-03-09
"68",98,2287,830,218,91,2025-03-10
"69",99,1853,784,227,78,2025-03-11
"70",100,1667,770,197,66,2025-03-12
"71",101,1449,649,243,92,2025-03-13
"72",102,1548,612,211,94,2025-03-14
"73",103,1145,530,192,87,2025-03-15
"74",104,1201,501,195,88,2025-03-16
"75",105,1152,452,174,88,2025-03-17
"76",106,1028,432,170,74,2025-03-18
"77",107,758,394,149,86,2025-03-19
"78",108,794,385,150,71,2025-03-20
"79",109,650,322,136,68,2025-03-21
"80",110,747,281,129,81,2025-03-22
"81",111,567,264,116,64,2025-03-23
"82",112,542,241,109,69,2025-03-24
"83",113,512,206,98,51,2025-03-25
"84",114,413,202,96,52,2025-03-26
"85",115,400,178,72,55,2025-03-27
"86",116,340,178,73,45,2025-03-28
"87",117,300,142,77,34,2025-03-29
"88",118,343,147,53,27,2025-03-30
"89",119,259,106,64,41,2025-03-31
"90",120,232,118,56,30,2025-04-01
"91",121,281,104,56,36,2025-04-02
"92",122,197,106,42,26,2025-04-03
"93",123,126,76,38,28,2025-04-04
"94",124,136,103,30,16,2025-04-05
"95",125,144,67,31,22,2025-04-06
"96",126,143,52,29,15,2025-04-07
"97",127,129,46,23,22,2025-04-08
"98",128,95,50,19,17,2025-04-09
"99",129,86,35,13,11,2025-04-10
"100",130,104,31,18,10,2025-04-11
"101",131,88,32,17,13,2025-04-12
"102",132,56,33,14,17,2025-04-13
"103",133,71,30,12,10,2025-04-14
